陂	〔阝又¦bl〕
狈	〔犭贝¦bm〕
钡	〔钅贝¦dm〕
褙	〔衤底¦hl〕
被	〔衤又¦hl〕
惫	〔夂心¦jn〕
北	〔北匕¦la〕
邶	〔北阝¦lb〕
背	〔北底¦ll〕
糒	〔米竖ᵖ¦lp〕
贝	〔贝贝¦mm〕
悲	〔竖ᵖ心¦pn〕
鹎	〔白鸟¦sc〕
卑	〔白十¦ss〕
焙	〔火口¦to〕
碚	〔石口¦to〕
碑	〔石十¦ts〕
鞁	〔廿又¦vl〕
杯	〔木捺ᴴ¦wh〕
棓	〔木口¦wo〕
蓓	〔艹口¦zo〕
胞	〔月巳¦lt〕
跋	〔足捺ᴴ¦gh〕
边	〔力辶¦uq〕
屏	〔尸竖ᵖ¦qp〕
瀑	〔氵氺¦ko〕
笔	〔竹折ᴿ¦nr〕
爸	〔八巴¦ft〕
羓	〔丷巴¦ft〕
蚆	〔虫巴¦ft〕
拨	〔扌捺ᴴ¦jh〕
勃	〔十力¦su〕
斑	〔王文¦aj〕
棒	〔木竖ᵖ¦wp〕
鄙	〔口阝¦ob〕
匕	〔匕匕¦aa〕
比	〔比匕¦aa〕
扒	〔扌八¦jf〕
蕃	〔艹田¦zw〕
颁	〔八贝¦fm〕
簿	〔竹寸¦nk〕
哔	〔口十¦os〕
帛	〔白巾¦sy〕
辫	〔立纟¦be〕
梆	〔木阝¦wb〕
鳖	〔丷鱼¦fq〕
炮	〔火巳¦tt〕
鸨	〔匕鸟¦ac〕
陛	〔阝土¦bg〕
狴	〔犭土¦bg〕
镳	〔钅灬¦dn〕
裨	〔衤十¦hs〕
龅	〔止巳¦rt〕
荜	〔艹十¦zs〕
萆	〔艹十¦zs〕
薜	〔艹十¦zs〕
妣	〔女匕¦ya〕
邴	〔横ᴰ阝¦db〕
哺	〔口捺ᴴ¦oh〕
卟	〔口捺ᴴ¦oh〕
葆	〔艹木¦zw〕
砵	〔石横ᴰ¦td〕
捭	〔扌十¦js〕
筚	〔竹十¦ns〕
吡	〔口匕¦oa〕
摈	〔扌八¦jf〕
蓖	〔艹匕¦za〕
荸	〔艹子¦za〕
芘	〔艹匕¦za〕
檗	〔尸木¦qw〕
箅	〔竹竖ᵖ¦np〕
艴	〔折ᴿ巴¦rt〕
哱	〔口子¦oa〕
嶓	〔山田¦pw〕
儦	〔亻灬¦xn〕
吧	〔口巴¦ot〕
忭	〔忄捺ᴴ¦nh〕
把	〔扌巴¦jt〕
昪	〔日竖ᵖ¦vp〕
柈	〔木十¦ws〕
栟	〔木竖ᵖ¦wp〕
桲	〔木子¦wa〕
椑	〔木十¦ws〕
欂	〔木寸¦wk〕
波	〔氵又¦kl〕
毖	〔比撇ᵁ¦au〕
珌	〔王撇ᵁ¦au〕
胈	〔月捺ᴴ¦lh〕
菝	〔艹捺ᴴ¦zh〕
藨	〔艹灬¦zn〕
蛃	〔虫人¦fe〕
邠	〔八阝¦fb〕
邲	〔心阝¦nb〕
鐾	〔尸横ᴰ¦qd〕
镈	〔钅寸¦dk〕
鹁	〔十鸟¦sc〕
半	〔丷十¦fs〕
备	〔夂田¦jw〕
保	〔亻木¦xw〕
包	〔撇ᵁ巳¦ut〕
布	〔左巾¦sy〕
板	〔木又¦wl〕
巴	〔巴巴¦tt〕
冰	〔冫水¦fo〕
辈	〔竖ᵖ车¦pt〕
病	〔疒人¦me〕
班	〔王撇ᵁ¦au〕
壁	〔尸土¦qg〕
罢	〔罒厶¦ap〕
霸	〔雨月¦yl〕
博	〔十寸¦sk〕
播	〔扌田¦jw〕
膀	〔月方¦lf〕
拔	〔扌捺ᴴ¦jh〕
鼻	〔自竖ᵖ¦sp〕
倍	〔亻口¦xo〕
编	〔纟心¦ej〕
柄	〔木人¦we〕
碧	〔王石¦at〕
饱	〔负巳¦gt〕
绑	〔纟阝¦eb〕
憋	〔丷心¦fn〕
玻	〔王又¦al〕
驳	〔马乂¦zy〕
绷	〔纟月¦el〕
笨	〔竹横ᴰ¦nd〕
庇	〔广匕¦ra〕
呗	〔口贝¦om〕
疤	〔疒巴¦mt〕
傍	〔亻方¦xf〕
弊	〔丷竖ᵖ¦fp〕
柏	〔木白¦ws〕
磅	〔石方¦tf〕
绊	〔纟十¦es〕
靶	〔廿巴¦vt〕
炳	〔火人¦te〕
礴	〔石寸¦tk〕
痹	〔疒竖ᵖ¦mp〕
叭	〔口八¦of〕
滨	〔氵八¦kf〕
钵	〔钅横ᴰ¦dd〕
鬓	〔横ᴰ八¦df〕
镔	〔钅八¦df〕
镑	〔钅方¦df〕
簸	〔竹又¦nl〕
贲	〔十贝¦sm〕
芭	〔艹巴¦zt〕
嘣	〔口月¦ol〕
坝	〔土贝¦gm〕
孢	〔子巳¦at〕
汴	〔氵捺ᴴ¦kh〕
