# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	7312
#@/user_id	tsbu-jdh
a;bj;ek;tz;ek; 	阿	c=2 d=2.40745e-06 t=7312
cang;et;re;jz;rv; ku;rt;gi;xy;gi; 	仓库	c=1 d=2.28857e-05 t=7312
cang;zh;cg,ci;lq;ci; 	藏	c=1 d=1.13941e-06 t=7312
cang;zt;cc;lz;cv; bai;ss;pa,po;ub;po; 	苍白	c=1 d=2.85911e-06 t=7312
cang;zt;cc;lz;cv; tian;ue;ad;fm;ad; 	苍天	c=1 d=5.68554e-05 t=7312
cang;zt;cc;lz;cv; ying;fe,fr;id,im;cd;id; 	苍蝇	c=1 d=5.01832e-07 t=7312
cao;jw;fz;ue;fm; zuo;xu;rv;jw;rv; 	操作	c=2 d=2.35969e-05 t=7312
cao;zs;cz;ln;cu; 	草	c=1 d=0.460704 t=7312
cao;zs;cz;ln;cu; cong;ed;ac,ra;jf;ra; 	草丛	c=1 d=3.02807e-05 t=7312
cao;zs;cz;ln;cu; yuan;rf;ix;xy;ix; 	草原	c=5 d=0.697467 t=7312
ce;ki;dz;kp;dd; shi;cp;yu;su;yg; 	测试	c=1 d=1.7646e-05 t=7312
ce;xi;rz;jp;rd; 	侧	c=3 d=9.37488e-06 t=7312
ceng;fv;ob,bo;ho;bo; 	曾	c=2 d=4.18096e-06 t=7312
ceng;qp;uy;cb;us; 	层	c=2 d=4.16011e-06 t=7312
cha;fp;yg;gu;yg; 	差	c=1 d=0.0490458 t=7312
cha;js;fi,fj;up;fj; dui;be;er;tj;er; 	插队	c=1 d=5.11971e-07 t=7312
cha;wd;md;ef;ma; 	查	c=2 d=4.42009e-06 t=7312
cha;wd;md;ef;ma; kan;us;ou,uo;uq;uo; 	查看	c=2 d=0.904856 t=7312
cha;zf;cm;le;cm; 	茶	c=2 d=1.11685e-06 t=7312
cha;zf;cm;le;cm; yin;ge;uq;qe;ur; 	茶饮	c=1 d=3.64407e-07 t=7312
chai;jh;fi;ui;fi; kai;dz,dp,up;ac;fl;ac; 	拆开	c=1 d=6.28455e-07 t=7312
chan;bu,br,ir;dp,li,wp;ix;lp; 	产	c=4 d=1.25048e-05 t=7312
chan;eg;sl;id;sl; 	缠	c=1 d=0.00172074 t=7312
chan;hs;ud;fn;pl; 	禅	c=1 d=0.119433 t=7312
chan;hs;ud;fn;pl; xin;nn;dd;hx;dd; 	禅心	c=0 d=0.00466538 t=7312
chang;gu;ty;ge;tp; 	场	c=6 d=0.657047 t=7312
chang;gu;ty;ge;tp; he;eo;rk;jd;rk; 	场合	c=3 d=4.26808e-05 t=7312
chang;ho;xu;ws;ik; yang;hp;xy;wg;iy; 	徜徉	c=1 d=5.14535e-07 t=7312
chang;hp;dy,xy;sb;xs; dao;di;dv;yp;ad; le;rp;aa,vu;rl;vl; 	尝到了	c=1 d=5.01832e-07 t=7312
chang;hy;jk,xd,dd;sr;xj; 	常	c=4 d=0.286187 t=7312
chang;hy;jk,xd,dd;sr;xj; chang;hy;jk,xd,dd;sr;xj; 	常常	c=2 d=1.21434e-06 t=7312
chang;hy;jk,xd,dd;sr;xj; jian;pk;ag,ek,ke;ej;ke; 	常见	c=1 d=0.000152248 t=7312
chang;hy;jk,xd,dd;sr;xj; ren;ee;pd;jr;pn; 	常人	c=1 d=6.84212e-07 t=7312
chang;hy;jk,xd,dd;sr;xj; shi;cf;yv;sh;yb; 	常识	c=1 d=9.56323e-05 t=7312
chang;hy;jk,xd,dd;sr;xj; yong;lp;kf;ty;kl; 	常用	c=1 d=1.625e-06 t=7312
chang;lu;oy;ve;op; 	肠	c=1 d=0.0332068 t=7312
chang;ov;ki;do;ko; 	唱	c=3 d=4.44234e-06 t=7312
chang;ov;ki;do;ko; ge;je;qg;ze;dr; 	唱歌	c=1 d=1.76917e-06 t=7312
chang;ov;ki;do;ko; zhe;fs;yo;gq;yo; 	唱着	c=1 d=1.82305e-06 t=7312
